Year,m,d,Time,Time zone,Cloud amount (1/8),Precipitation amount (mm),Precipitation intensity (mm/h),Air temperature (degC)
2016,5,1,19:00,UTC,0,0,0,11.5
2016,5,1,19:10,UTC,1,,0,11.1
2016,5,1,19:20,UTC,3,,0,10.9
2016,5,1,19:30,UTC,5,,0,10.9
2016,5,1,19:40,UTC,5,,0,10.5
2016,5,1,19:50,UTC,1,,0,9.8
2016,5,1,20:00,UTC,1,0,0,9.4
2016,5,1,20:10,UTC,0,,0,9.1
2016,5,1,20:20,UTC,0,,0,8.8
2016,5,1,20:30,UTC,0,,0,8.5
2016,5,1,20:40,UTC,0,,0,8.4
2016,5,1,20:50,UTC,0,,0,8.3
2016,5,1,21:00,UTC,0,0,0,7.9
2016,5,1,21:10,UTC,0,,0,7.8
2016,5,1,21:20,UTC,0,,0,7.6
2016,5,1,21:30,UTC,1,,0,7.7
2016,5,1,21:40,UTC,1,,0,7.5
2016,5,1,21:50,UTC,1,,0,7.5
2016,5,1,22:00,UTC,1,0,0,7.3
2016,5,1,22:10,UTC,1,,0,7
2016,5,1,22:20,UTC,5,,0,7.1
2016,5,1,22:30,UTC,5,,0,7
2016,5,1,22:40,UTC,3,,0,7
2016,5,1,22:50,UTC,1,,0,7.1
2016,5,1,23:00,UTC,0,0,0,6.8
2016,5,1,23:10,UTC,0,,0,6.7
2016,5,1,23:20,UTC,0,,0,6.7
2016,5,1,23:30,UTC,0,,0,6.9
2016,5,1,23:40,UTC,0,,0,6.8
2016,5,1,23:50,UTC,0,,0,6.4
2016,5,2,00:00,UTC,0,0,0,6
2016,5,2,00:10,UTC,0,,0,6
2016,5,2,00:20,UTC,0,,0,5.8
2016,5,2,00:30,UTC,0,,0,5.5
2016,5,2,00:40,UTC,0,,0,5.6
2016,5,2,00:50,UTC,0,,0,5.6
2016,5,2,01:00,UTC,0,0,0,5.7
2016,5,2,01:10,UTC,0,,0,5.5
2016,5,2,01:20,UTC,0,,0,5.1
2016,5,2,01:30,UTC,0,,0,5.1
2016,5,2,01:40,UTC,0,,0,5.1
2016,5,2,01:50,UTC,0,,0,5.2
2016,5,2,02:00,UTC,0,0,0,4.9
2016,5,2,02:10,UTC,0,,0,4.9
2016,5,2,02:20,UTC,0,,0,4.8
2016,5,2,02:30,UTC,0,,0,5
2016,5,2,02:40,UTC,0,,0,5.3
2016,5,2,02:50,UTC,0,,0,5.4
2016,5,2,03:00,UTC,0,0,0,4.9
2016,5,2,03:10,UTC,0,,0,5.1
2016,5,2,03:20,UTC,0,,0,5.8
2016,5,2,03:30,UTC,0,,0,6.1
2016,5,2,03:40,UTC,0,,0,6.5
2016,5,2,03:50,UTC,0,,0,7.2
2016,5,2,04:00,UTC,0,0,0,7.3
2016,5,2,04:10,UTC,0,,0,7.5
2016,5,2,04:20,UTC,0,,0,8
2016,5,2,04:30,UTC,0,,0,8.7
2016,5,2,04:40,UTC,0,,0,9.3
2016,5,2,04:50,UTC,0,,0,10
2016,5,2,05:00,UTC,0,0,0,9.9
2016,5,2,05:10,UTC,0,,0,10
2016,5,2,05:20,UTC,0,,0,10.3
2016,5,2,05:30,UTC,0,,0,10.7
2016,5,2,05:40,UTC,0,,0,11.1
2016,5,2,05:50,UTC,0,,0,11.4
2016,5,2,06:00,UTC,0,0,0,12
2016,5,2,06:10,UTC,0,,0,12.2
2016,5,2,06:20,UTC,0,,0,12.7
2016,5,2,06:30,UTC,0,,0,13.3
2016,5,2,06:40,UTC,0,,0,13.6
2016,5,2,06:50,UTC,0,,0,13.8
2016,5,2,07:00,UTC,0,0,0,14.1
2016,5,2,07:10,UTC,0,,0,13.9
2016,5,2,07:20,UTC,0,,0,14.3
2016,5,2,07:30,UTC,0,,0,14.1
2016,5,2,07:40,UTC,0,,0,14
2016,5,2,07:50,UTC,0,,0,14.2
2016,5,2,08:00,UTC,0,0,0,14.5
2016,5,2,08:10,UTC,0,,0,14.2
2016,5,2,08:20,UTC,0,,0,14.1
2016,5,2,08:30,UTC,1,,0,14.4
2016,5,2,08:40,UTC,1,,0,14.4
2016,5,2,08:50,UTC,1,,0,14.8
2016,5,2,09:00,UTC,0,0,0,14.6
2016,5,2,09:10,UTC,0,,0,14.3
2016,5,2,09:20,UTC,0,,0,14.3
